Names,state,statute_id,statute_name,estimated_amount,penalty type,year,penalty_amt_min,peanlty_amt_max,penalty_amt_fixed,other_penalty,notes
Nuhamin,idaho,id_88,idaho code § 18-4007,$0 - $15000,punishment for manslaughter,1983,"$10,000 ","$15,000 ",n/a,,"voluntary = 15,000; involuntary = 10,000"
Sreelu,idaho,id_151,idaho code § 18-7903,$0 - $5000,malicious harassment-penalties-criminal and civil,1983,n/a,n/a,"$5,000 ",,"punishable by imprisonment in the state prison for a period not to exceed five (5) years, or by both imprisonment and fine"
Nuhamin,idaho,id_84,idaho code § 18-3905,$0 - $1000,transportation of hazardous waste,1984,n/a,n/a,"$10,000 ",,could be punished by imprisonment for a period of not more than six (6) months
Sreelu,idaho,id_139,idaho code § 18-7028,$0 - $10000,unlawful removal of human remains  malice  intent to sell,1984,n/a,n/a,"$10,000 ",,"punishable by imprisonment in the state penitentiary for not more than five (5) years, by a fine, or by both fine and imprisonment"
Sreelu,idaho,id_147,idaho code § 18-7027,$0 - $1000,alteration of ore values,1984,n/a,n/a,"$1,000 ",,punishment for a misdemeanor 
Sreelu,idaho,id_155,idaho code § 18-8001,"$0 - $3000 Up to 1,000 dollars for first/second offense and up to 3,000 dollarsor more for third/greater offense",driving without privileges,1984,n/a,n/a,n/a,,
Sreelu,idaho,id_156,idaho code § 18-8002,$250 ,"tests of driver for alcohol concentration, presence of drugs or other intoxicating substances  penalty and suspension upon refusal of tests",1984,n/a,n/a,n/a,,
Julia,idaho,id_35,idaho code § 18-1509,$0 - $1000,enticing of children,1985,n/a,n/a,"$1,000 ","misdemeanor, fine and/or imprisonment",
Clark,idaho,id_2,idaho code § 18-112a,$0 - $50000,fine authorized,1986,,"$5,000 ",,,You can also recieve an additional fine even if the initial felony has a punishment
,,,,,,1986,$150 ,"$2,500 ",n/a,could be punished by imprisonment in the county jail not exceeding six (6) months,"first conviction: $150, 2nd conviction: $300, 3rd conviction: $1000"
Clark,,,,,,1987,,"$25,000 ",,,
,,,,,,1987,n/a,n/a,"$5,000 ",,"punishable by imprisonment in the state prison for a period not to exceed five (5) years, or by both imprisonment and fine"
,,,,,,1987,n/a,n/a,n/a,,
,,,,,,1987,n/a,n/a,n/a,,
,,,,,,1987,n/a,n/a,n/a,,
,,,idaho code § 18-1512A,,"advertising for adoption, prohibited acts",1988,n/a,n/a,n/a,,no penalty laid out
,,,,,,1988,n/a,n/a,n/a,,
Clark,,,,,,1989,,,,Scaling penalty up to $100 for first offense 2nd offense is $200 $300 for subsequent offenses,"procurment, sale, or distribution of alcohol when under age requirements"
Clark,,,,,,1989,,,,Scaling penalty up to $100 for first offense 2nd offense is $200 $300 for subsequent offenses,Drivers liscense will be suspended as well
Julia,idaho,id_36,idaho code § 18-1510,$0 - $1001,providing shelter to runaway children,1989,n/a,n/a,"$5,000 ",fine and/or imprisonment,included new provisions regarding licensed and registered childrens care facilities
,,,,,,1989,$25 ,"$3,000 ",n/a,,
,,,,,,1989,n/a,n/a,n/a,,
,,,,,,1989,n/a,n/a,n/a,,
,,,,,,1989,n/a,n/a,n/a,,
,idaho,id_163,idaho code § 18-8005(1),$0 - $1000,motor vehicles-penalties,1989,$0 ,"$1,000 ",n/a,180 license suspension; may be sentenced to jail max 6 mo,
,idaho,id_164,idaho code § 18-8005(2),$0 - $1000,motor vehicles-penalties,1989,$0 ,"$2,000 ",n/a,imprisonment 6 mo to 1 yr; revoked license 6 mo to 1 year after jail,restricted privileges to be requested 30 days after confinement release
,idaho,id_165,idaho code § 18-8005(3),$0 - $1000,motor vehicles-penalties,1989,$0 ,"$5,000 ",n/a,jail 30 days and prison up to 5 yrs; revoked license 1-5 yrs after imprisonment,no privileges granted
,idaho,id_166,idaho code § 18-8005(4),$0 - $2000,motor vehicles-penalties,1989,$0 ,"$5,000 ",n/a,,same penalties offered as 2-3rd offenses
,idaho,id_167,idaho code § 18-8005(6),$0 - $5000 plus suspended drivers license,motor vehicles-penalties,1989,$0 ,"$5,000 ",n/a,alcohol evaluation - possible mandatory treatment,same penalties offered as 2-3rd offenses
,idaho,id_168,idaho code § 18-8006,$0 - $5000,"aggravated driving while under the influence of alcohol, drugs or any other intoxicating substances",1989,$0 ,"$5,000 ",n/a,jail 30 days; up to 5 yrs in prison; license suspension,
,idaho,id_169,tT,Amount of restitution,"aggravated driving while under the influence of alcohol, drugs or any other intoxicating substances",1989,,,,,Restitution? Mentioned but no detail
Cassandra,idaho,id_170,idaho code § 18-8007,$0 - $5000,leaving scene of accident resulting in injury or death,1989,$0 ,"$5,000 ",n/a,imprisonment up to 5 yrs; revoked license 1 yr,
Cassandra,idaho,id_186,idaho code § 31-3201b,$15 ,peace officers standards and training-fee,1989,n/a,n/a,$4 ,,
Cassandra,idaho,id_193,idaho code § 49-673,$10 ,safety restraint use,1989,n/a,n/a,$5 ,,
Cassandra,idaho,id_196,idaho code § 49-1401,$0 - $2000,reckless driving,1989,$25 ,$300 ,n/a,possible jail time 5 days to 6 mo,
Clark,idaho,id_28,idaho code § 18-1360,$0 - $1000,bribery and corruption-penalties,1990,,"$1,000 ",,Also they may pay a resititution to the office they hold,Fine to politicians who accept bribe
Clark,,,,,,1990,,,,Scaling penalty up to $100 for first offense 2nd offense is $200 $300 for subsequent offenses,"Further clarifies drivers law, applied the law to just men"
Nuhamin,idaho,id_68,idaho code § 18-3302a,$0 - $1000,sale of weapons to minors,1990,n/a,n/a,"$1,000 ",Fine and/or imprisonment,"unlawful to directly or indirectly sell or deliver, loan or barter to any minor under the age of sixteen"
Guiselle,idaho,id_125,idaho code § 18-6711a,$0 - $1000,false alarms  complaints  reports  penalties  civil damages,1990,n/a,n/a,$500 ,,guilty of a misdemeanor and upon conviction thereof shall be sentenced to a fine not to exceed or to term of not to exceed 1 year in the county jail or both.
,,,,,,1990,"$1,000 ","$5,000 ",n/a,,
,,,,,,1990,$75 ,"$3,000 ",n/a,,
,,,,,,1990,n/a,n/a,n/a,,
Cassandra,idaho,id_184,idaho code § 31-3201,$2 - $10 Base cost + price per page,clerk of district court-fees,1990,$2 ,$15 ,n/a,,max can increase based on copies needed
Cassandra,idaho,id_182,idaho code § 19-5304,restitution,restitution for crime victims  orders to be separate  when restitution is not appropriate  other remedies  evidentiary hearings  definitions,1991,,,n/a,,"value of property, lost wages, and/or direct losses/expenses as a result of the crime"
Clark,,,,,,1992,,"$1,000 ",,,Now applies to legislative members and judicial members
Clark,,,,,,1992,,"$25,000 ",,,
Nuhamin,idaho,id_74,idaho code § 18-3316,$0 - $5000,unlawful possession of a firearm,1992,n/a,n/a,"$5,000 ",imprisonment in the state prison for a period of time not to exceed five (5) years,
,,,,,,1992,"$10,000 ","$15,000 ",n/a,,"voluntary = 15,000; involuntary = 10,000"
,,,,,,1992,$25 ,"$5,000 ",n/a,,
,,,,,,1992,n/a,n/a,n/a,,
,,,,,,1992,n/a,n/a,n/a,,
Cassandra,idaho,id_174,idaho code § 18-8201,$0 - $25000 plus restitution,money laundering and illegal investment  penalty  restitution,1992,$0 ,"$250,000 ",n/a,imprisonment 10 yrs max,fine may be twice as amt laundered (whichever is greater)
Cassandra,idaho,id_183,idaho code § 19-5307,$0 - $5000,fines in cases of crimes of violence,1992,$0 ,"$5,000 ",n/a,,in addition to any other fines/sentencing from violation
Clark,idaho,,,,,1993,,"$50,000 ",,,Fine increased by ten times 
Clark,idaho,id_15,idaho code § 18-802,$0 - $100000,arson in first degree  burning of dwelling or other structures where persons are normally present  penalties,1993,,"$100,000 ",,,Can't commit arson where there are people
Clark,idaho,id_16,idaho code § 18-803,$0 - $75000,arson in the second degree  burning of a structure  penalties,1993,,"$75,000 ",,,Cant burn a building down
Clark,idaho,id_17,idaho code § 18-804,$0 - $50000,arson in the third degree  burning of real or personal property or forest land  penalties,1993,,"$50,000 ",,,Arson on forests or other property
Clark,idaho,id_21,idaho code § 18-918,$0 - $10000,domestic violence,1993,,,,Penalty scales per offense first offense is 1k second is 2k and third beyond is 5k,
Clark,idaho,id_30,idaho code § 18-1502b,$0 - $300,possession of inhalants by minors,1993,,$300 ,,,"Possesion of inhalent(whip it, galaxy gas ECT)"
Clark,idaho,id_33,idaho code § 18-1505a,$0 - $5000,abandoning a vulnerable adult,1993,,"$5,000 ",,,
Nuhamin,idaho,id_69,idaho code § 18-3302d,$0 - $1000,possessing weapons or firearms on school property,1993,n/a,n/a,"$1,000 ",Fine and/or imprisonment,"might have jail term of not more than one (1) year, or if a minor, not in excess of one hundred twenty (120) days in a juvenile detention facility"
,,,,,,1993,$300 ,"$25,000 ",n/a,,varying levels of fine and imprisonment according to controlled substance involved
,,,,,,1993,n/a,n/a,n/a,,
Cassandra,idaho,id_185,idaho code § 31-3201a(2); idaho code § 31-3201a(3),$16.50 - $17.50,court fees,1993,$7 ,$32 ,n/a,,
,,,,,,1994,,"$50,000 ",,,Same ten times increase(done in same bill)
,,,,,,1994,,$300 ,,,
Clark,idaho,id_4,idaho code § 18-113a,$0 - $300 See I.I.R. Rule 9 and https://isc.idaho.gov/rules/Infraction_Fee_Schedule_08.15.16.pdf for infraction fee schedule ,punishment for infraction,1994,,$300 ,,,Fines can be added in addition to penalty in misdamenors
Clark,,,,,,1994,,,,"Scaling penalty up to $1000 for first offense 2nd offense is up to $2000, up to $3000 for subsequent offenses",Penalty fine increased by ten times
Clark,idaho,id_31,idaho code § 18-1502c,$0 - $1000,possession of marijuana or drug paraphernalia by a minor  use of controlled substances  fines,1994,,$300 ,,,Marijiuana illegal to poses
Clark,idaho,id_32,idaho code § 18-1505,$0 - $25000,"abuse, exploitation or neglect of a vulnerable adult",1994,,"$5,000 ",,,Abandoning a vunerable adult
Clark,,,,,,1994,,"$5,000 ",,,
,,,,,,1994,n/a,n/a,"$1,000 ",Fine and/or imprisonment,Unlawful to directly or indirectly sell to any minor under the age of EIGHTEEN years
,,,,,,1994,"$10,000 ","$15,000 ",n/a,,"voluntary = 15,000; involuntary = 10,000"
,,,,,,1994,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
,,,,,,1994,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
,,,,,,1994,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
,,,,,,1994,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
,,,,,,1994,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
Guiselle,idaho,id_105,idaho code § 18-5609,$0 - $50000,utilizing a person under eighteen years of age for prostitution-penalties,1994,n/a,n/a,"$50,000 ",n/a,Incuding a person under eighteen years of age under prostitution icluding inducing or attemps to induce a person shall be guilty of a felony which is punishable by penitentiary for a period of no less than 2 years which may be extended to life imprisonment or by a fine not exceeding.
