Names,state,statute_id,statute_name,estimated_amount,penalty type,year,penalty_amt_min,peanlty_amt_max,penalty_amt_fixed,other_penalty,notes
,,,,,,2024,n/a,n/a,n/a,$250 ,"any minor, parent, or legal guardian who prevails in an action brought under this section may recover two hundred fifty dollars ($250) in statutory damages as well as actual damages"
,,,idaho code § 18-1517B,,children’s school and library protection,2024,n/a,n/a,n/a,$250 ,"any minor, parent, or legal guardian who prevails in an action brought under this section may recover two hundred fifty dollars ($250) in statutory damages as well as actual damages"
Nuhamin,idaho,id_97,idaho code § 18-5601,$1000 - $50000,interstate trafficking in prostitution,2024,n/a,n/a,n/a,n/a,n/a
,,,,,,2024,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
,,,,,,2024,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
,,,,,,2024,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
,,,,,,2024,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
,,,,,,2024,n/a,n/a,"$50,000 ",n/a,could be punished by imprisonment for a period of not more than twenty (20) years
Nuhamin,idaho,id_103,idaho code § 18-5607,$1000 - $50000 Na,harboring prostitutes,2024,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
,,,,,,2024,"$1,000 ","$50,000 ",n/a,n/a,could be punished by imprisonment for a period of no less than two (2) years and no more than twenty (20) years
Guiselle,,,,,,2024,n/a,n/a,"$50,000 ",n/a,"every person who attemps to induce a child to engage in commerical sexual activity shall be guilty of  a felony punishable by imprisonment in the state penitentiary for a period of no more than 2 years, which may be extended to life in prision or by a fine or both."
,,,,,,2024,$300 ,"$1,000 ",n/a,,
Julia,idaho,id_50,idaho code § 18-1524,$0 - $1015,"prohibiting defacing, altering or obliterating numbers  sales prohibited  penalty",n/a,n/a,n/a,n/a,n/a,no record of this statute!
Julia,idaho,id_51,idaho code § 18-1525,$0 - $1016,unlawful use of theft detection shielding devices,n/a,n/a,n/a,n/a,n/a,no record of this statute!
Julia,idaho,id_52,idaho code § 18-1526,$0 - $1017,theft-penalties,n/a,n/a,n/a,n/a,n/a,no record of this statute!
Julia,idaho,id_53,idaho code § 18-1527,$0 - $1018,rescuing prisoners,n/a,n/a,n/a,n/a,n/a,no record of this statute!
Julia,idaho,id_54,idaho code § 18-1528,$0 - $1019,officer&#039;s assisting in escape,n/a,n/a,n/a,n/a,n/a,no record of this statute!
Julia,idaho,id_55,idaho code § 18-1529,$0 - $1020,"punishment for violation of preceding section (inmates of public institutions  enticing, aiding to escape, harboring or employing unlawful)",n/a,n/a,n/a,n/a,n/a,no record of this statute!
Julia,idaho,id_56,idaho code § 18-1530,$0 - $1021,"possession, introduction or removal of certain articles into or from correctional facilities",n/a,n/a,n/a,n/a,n/a,no record of this statute!
Julia,idaho,id_57,idaho code § 18-1531,$0 - $1022,"destruction, alteration or concealment of evidence",n/a,n/a,n/a,n/a,n/a,no record of this statute!
Julia,idaho,id_58,idaho code § 18-1532,$0 - $1023,officers not to purchase scrip,n/a,n/a,n/a,n/a,n/a,no record of this statute!
Julia,idaho,id_59,idaho code § 18-1533,$0 - $1024,making appointments for reward,n/a,n/a,n/a,n/a,n/a,no record of this statute!
Julia,idaho,id_60,idaho code § 18-1534,$0 - $1025,false imprisonment-punishment,n/a,n/a,n/a,n/a,n/a,no record of this statute!
Julia,idaho,id_61,idaho code § 18-1535,$0 - $1026,false personation,n/a,n/a,n/a,n/a,n/a,no record of this statute!
Julia,idaho,id_62,idaho code § 18-1536,$0 - $1027,intimidation by false assertion of authority,n/a,n/a,n/a,n/a,n/a,no record of this statute!
Julia,idaho,id_63,idaho code § 18-1537,$0 - $1028,"false statement by commission merchant, broker, agent, factor or consignee to principal or consignor",n/a,n/a,n/a,n/a,n/a,no record of this statute!
Julia,idaho,id_64,idaho code § 18-1538,$0 - $1029,drawing check without funds  drawing check with insufficient funds  prima facie evidence of intent  standing of person having acquired rights  probation conditions,n/a,n/a,n/a,n/a,n/a,no record of this statute!
Julia,idaho,id_65,idaho code § 18-1539,$0 - $1030,"false pretenses, cheats and misrepresentations- penalty for violation",n/a,n/a,n/a,n/a,n/a,no record of this statute!
Julia,idaho,id_66,idaho code § 18-1540,$0 - $1031,"false pretenses, cheats and misrepresentations- penalty for violation",n/a,n/a,n/a,n/a,n/a,no record of this statute!
Julia,idaho,id_67,idaho code § 18-1541,$0 - $1032,"private person stealing, mutilating or falsifying public records",n/a,n/a,n/a,n/a,n/a,no record of this statute!
Nuhamin,idaho,id_70,idaho code § 18-3302d,$5 - $1000,aiming firearms at others,n/a,n/a,n/a,n/a,n/a,n/a
Sreelu,idaho,id_157,idaho code § 18-8002a,unknown,"tests of driver for alcohol concentration, presence of drugs or other intoxicating substances  suspension upon failure of tests",n/a,n/a,n/a,n/a,,
Guiselle,,,,,,,,,,,
